DAUID,MAG_mean,MAG_std,hf_transit_mean,hf_walk_mean,n_blocks,CSDNAME,CMANAME,Residential instability Scores,Economic dependency Scores,Situational vulnerability Scores,Ethno-cultural composition Scores,Residential instability Quintiles,Economic dependency Quintiles,Situational vulnerability Quintiles,Ethno-cultural composition Quintiles
48060683,-0.11454545454545455,0.012363038755610508,0.13375454545454546,0.01920909090909091,11,Calgary,Calgary,1.309,-1.307,-0.442,0.622,5.0,1.0,2.0,4.0
48060684,-0.07078571428571429,0.003395304881464292,0.08384285714285714,0.013057142857142856,7,Calgary,Calgary,-0.736,-0.578,-0.991,-0.304,2.0,2.0,1.0,3.0
48060685,-0.07586666666666667,0.009102453881600645,0.08988333333333333,0.014016666666666669,6,Calgary,Calgary,0.825,0.381,0.273,0.415,5.0,4.0,4.0,4.0
48060686,-0.09156,0.013354137935486508,0.10540000000000001,0.01384,5,Calgary,Calgary,1.094,-1.383,-0.513,1.575,5.0,1.0,2.0,5.0
48060687,-0.10538333333333333,0.010645640735374589,0.12373333333333335,0.01835,6,Calgary,Calgary,0.452,-0.926,-0.081,1.181,4.0,1.0,3.0,5.0
48060688,-0.106325,0.011553818169147127,0.125725,0.0194,8,Calgary,Calgary,-0.18,-0.94,-0.403,-0.506,3.0,1.0,2.0,3.0
48060689,-0.1016375,0.015962897830370817,0.116475,0.0148375,8,Calgary,Calgary,0.35,-1.17,-0.239,0.351,4.0,1.0,3.0,4.0
48060693,-0.10205,0.014179445217167944,0.11935,0.0173,4,Calgary,Calgary,-0.326,0.214,-0.657,-0.275,3.0,4.0,1.0,3.0
48060694,-0.0994,0.009696906723280363,0.11299999999999999,0.013600000000000001,3,Calgary,Calgary,0.022,-0.383,0.001,-0.21,4.0,2.0,4.0,3.0
48060695,-0.09468571428571429,0.019069821583803437,0.1078,0.013114285714285714,7,Calgary,Calgary,0.437,0.112,0.018,0.41,4.0,3.0,4.0,4.0
48060696,-0.0783,0.0005656854249492346,0.0876,0.0093,2,Calgary,Calgary,2.121,1.169,0.667,0.172,5.0,5.0,5.0,4.0
48060697,-0.0872,0.006788225099390854,0.10075,0.01355,2,Calgary,Calgary,0.426,0.202,-0.479,-0.194,4.0,4.0,2.0,3.0
48060698,-0.0858,0.01050000000000001,0.09586666666666667,0.010066666666666666,3,Calgary,Calgary,1.289,-0.802,-0.375,0.021,5.0,1.0,2.0,4.0
48060699,-0.0981,,0.1048,0.0067,1,Calgary,Calgary,-0.244,-1.537,-0.136,0.572,3.0,1.0,3.0,4.0
48060700,-0.07746666666666667,0.01956842695091594,0.08849999999999998,0.011033333333333334,3,Calgary,Calgary,0.276,-0.818,0.644,0.946,4.0,1.0,5.0,5.0
48060701,-0.08360000000000001,,0.0947,0.0111,1,Calgary,Calgary,0.274,-1.094,-0.117,0.94,4.0,1.0,3.0,5.0
48060702,-0.084025,0.006120865951807803,0.0974875,0.013462499999999999,8,Calgary,Calgary,0.926,-1.449,0.065,0.114,5.0,1.0,4.0,4.0
48060703,-0.08197499999999999,0.006592609498521802,0.095775,0.0138,4,Calgary,Calgary,-0.83,-0.836,-0.21,-0.193,1.0,1.0,3.0,3.0
48060704,-0.084675,0.004801649022297784,0.1035,0.018825,4,Calgary,Calgary,-0.064,-0.214,-0.477,-0.638,3.0,3.0,2.0,2.0
48060705,-0.07050000000000001,0.005538050198400158,0.08170000000000001,0.0112,5,Calgary,Calgary,-0.49,-0.312,-0.411,-0.235,2.0,2.0,2.0,3.0
48060707,-0.06480000000000001,,0.0734,0.0086,1,Calgary,Calgary,1.243,2.804,-1.546,-0.413,5.0,5.0,1.0,3.0
48060708,-0.07374444444444445,0.0025807513979028973,0.08345555555555556,0.009711111111111111,9,Calgary,Calgary,-0.784,0.035,-0.545,-0.307,2.0,3.0,2.0,3.0
48060710,-0.14921666666666666,0.011507808942916413,0.15841666666666668,0.0092,6,Calgary,Calgary,-0.88,-0.267,-0.298,-0.21,1.0,3.0,3.0,3.0
48060711,-0.06817142857142858,0.04007753794357941,0.0866,0.01842857142857143,7,Calgary,Calgary,-0.463,-0.145,-0.936,0.712,3.0,3.0,1.0,4.0
48060712,-0.052425,0.001905037182489275,0.061425,0.009,4,Calgary,Calgary,-1.034,-0.244,-0.763,0.531,1.0,3.0,1.0,4.0
48060716,-0.07853333333333333,0.07530301012133135,0.08566666666666667,0.007133333333333333,3,Calgary,Calgary,-1.292,0.273,-0.849,0.662,1.0,4.0,1.0,4.0
48060717,-0.035725,0.02722209580469512,0.046825,0.0111,4,Calgary,Calgary,-1.197,0.368,-1.003,-0.021,1.0,4.0,1.0,4.0
48060719,-0.047344444444444446,0.006093461887775928,0.06532222222222223,0.017977777777777777,9,Calgary,Calgary,-0.494,0.585,-0.815,0.42,2.0,4.0,1.0,4.0
48060727,-0.07392,0.0016528762809115511,0.08202000000000001,0.0081,5,Calgary,Calgary,-0.89,0.094,-0.934,-0.629,1.0,3.0,1.0,2.0
48060728,-0.076875,0.004311515588127524,0.0853,0.008425,4,Calgary,Calgary,-0.681,0.202,-0.099,-0.418,2.0,4.0,3.0,3.0
48060730,-0.07395,0.0006403124237432942,0.081925,0.007975,4,Calgary,Calgary,-0.612,-0.343,-0.946,-0.716,2.0,2.0,1.0,2.0
48060731,-0.07293333333333334,0.0010016652800877858,0.08360000000000001,0.010666666666666666,3,Calgary,Calgary,-0.763,-0.968,-0.538,-0.817,2.0,1.0,2.0,1.0
48060732,-0.06555,0.0010606601717798223,0.0754,0.00985,2,Calgary,Calgary,0.142,-0.536,-0.222,-0.172,4.0,2.0,3.0,3.0
48060733,-0.0742,0.007348741388836595,0.08245000000000001,0.00825,6,Calgary,Calgary,0.553,-0.495,0.074,0.137,4.0,2.0,4.0,4.0
48060734,-0.08385,0.013596690773861117,0.09255,0.008700000000000001,4,Calgary,Calgary,0.455,0.1,-0.575,-0.373,4.0,3.0,2.0,3.0
48060735,-0.077275,0.029499985875702833,0.084225,0.00695,4,Calgary,Calgary,-0.798,-1.204,-0.126,-0.709,2.0,1.0,3.0,2.0
48060736,-0.05082,0.022465796224483123,0.05942000000000001,0.0086,5,Calgary,Calgary,-1.506,0.013,-0.666,-0.529,1.0,3.0,1.0,2.0
48060737,-0.04975999999999999,0.036828358638418844,0.05586,0.0060999999999999995,5,Calgary,Calgary,-1.144,0.186,-1.199,-0.781,1.0,4.0,1.0,2.0
48060738,-0.05588,0.04558724602342194,0.06026,0.00438,5,Calgary,Calgary,-0.836,-0.104,-1.005,-0.576,1.0,3.0,1.0,2.0
48060739,-0.05872222222222222,0.03806424758805098,0.06864444444444445,0.009922222222222223,9,Calgary,Calgary,-0.738,0.647,-0.704,-0.539,2.0,4.0,1.0,2.0
48060740,-0.111375,0.028494487771029215,0.118,0.006625,4,Calgary,Calgary,-0.711,0.037,0.379,-0.418,2.0,3.0,4.0,3.0
48060741,-0.09626,0.03115674886762095,0.10628,0.01002,5,Calgary,Calgary,-0.036,-0.386,-0.519,-0.137,3.0,2.0,2.0,3.0
48060742,-0.10895714285714286,0.02990718180988514,0.12312857142857143,0.014171428571428571,7,Calgary,Calgary,0.573,-0.959,0.102,-0.139,4.0,1.0,4.0,3.0
48060743,-0.07123125,0.01577245357154893,0.09368125,0.02245,16,Calgary,Calgary,-0.543,-1.468,-1.025,-0.202,2.0,1.0,1.0,3.0
48060744,-0.07705555555555556,0.017157149465391323,0.10552222222222223,0.028466666666666664,9,Calgary,Calgary,-0.725,-1.475,-0.792,-0.298,2.0,1.0,1.0,3.0
48060745,-0.056830000000000006,0.0041923342742041245,0.09107000000000001,0.03424000000000001,10,Calgary,Calgary,-0.493,-1.419,-1.005,-0.564,2.0,1.0,1.0,2.0
48060746,-0.08213076923076924,0.01768588818876906,0.11001538461538461,0.027884615384615383,13,Calgary,Calgary,-0.88,-1.807,-0.837,-0.395,1.0,1.0,1.0,3.0
48060747,-0.06315833333333333,0.014699378980904,0.10525,0.042091666666666666,12,Calgary,Calgary,-0.629,-1.599,-1.13,-0.047,2.0,1.0,1.0,4.0
48060748,-0.08637142857142857,0.00776782129165235,0.12545714285714285,0.039085714285714286,7,Calgary,Calgary,-0.731,-1.444,-1.239,-0.574,2.0,1.0,1.0,2.0
48060749,-0.061537499999999995,0.004116495562281799,0.108975,0.0474375,8,Calgary,Calgary,0.448,-1.375,-1.275,-0.626,4.0,1.0,1.0,2.0
48060750,-0.07875454545454547,0.021026096339376153,0.12805454545454545,0.049300000000000004,11,Calgary,Calgary,0.667,-1.203,-0.711,-0.274,4.0,1.0,1.0,3.0
48060751,-0.13233333333333333,0.02369889237918093,0.1786222222222222,0.046288888888888886,9,Calgary,Calgary,1.04,-1.5,-0.814,-0.18,5.0,1.0,1.0,3.0
48060752,-0.13225714285714285,0.020447971141644445,0.18075714285714284,0.0485,7,Calgary,Calgary,0.282,-1.378,-0.264,-0.371,4.0,1.0,3.0,3.0
48060753,-0.08422222222222223,0.017460868948722015,0.13575555555555555,0.051533333333333334,9,Calgary,Calgary,-0.236,-1.076,-0.721,-0.076,3.0,1.0,1.0,4.0
48060754,-0.07826666666666666,0.017858630033310695,0.1285,0.05023333333333333,6,Calgary,Calgary,0.221,-1.508,-0.215,-0.496,4.0,1.0,3.0,3.0
48060755,-0.08858333333333333,0.011427933613154516,0.14353333333333332,0.05495,6,Calgary,Calgary,2.569,-0.97,-0.441,-0.018,5.0,1.0,2.0,4.0
48060758,-0.08698461538461538,0.010183634432579079,0.11109999999999999,0.024115384615384615,13,Calgary,Calgary,-0.349,-0.694,-0.752,-0.483,3.0,2.0,1.0,3.0
48060759,-0.08304,0.009347352566368733,0.10400000000000001,0.02096,5,Calgary,Calgary,0.547,-1.376,-0.428,-0.123,4.0,1.0,2.0,3.0
48060760,-0.0951,0.008014985963805553,0.1173375,0.0222375,8,Calgary,Calgary,0.286,-1.473,-0.419,-0.221,4.0,1.0,2.0,3.0
48060761,-0.12013333333333333,0.01423306010666715,0.14312222222222223,0.02298888888888889,9,Calgary,Calgary,0.697,-0.993,-0.39,0.579,4.0,1.0,2.0,4.0
48060763,-0.11192222222222223,0.024410232371783035,0.13263333333333333,0.02071111111111111,9,Calgary,Calgary,2.133,-0.037,0.013,0.054,5.0,3.0,4.0,4.0
48060764,-0.10335714285714286,0.06442672300654936,0.10973571428571428,0.006378571428571429,14,Calgary,Calgary,0.226,-1.63,-0.761,-0.198,4.0,1.0,1.0,3.0
48060769,-0.050225,0.013277393067416007,0.0687,0.018475,4,Calgary,Calgary,-0.104,3.367,-1.434,-0.689,3.0,5.0,1.0,2.0
48060770,-0.06694,0.01779081223553326,0.08168,0.01474,5,Calgary,Calgary,-0.275,1.179,-0.552,0.001,3.0,5.0,2.0,4.0
48060771,-0.04221666666666667,0.0020409964886463345,0.05773333333333333,0.015516666666666666,6,Calgary,Calgary,-0.825,-0.239,-0.759,-0.201,2.0,3.0,1.0,3.0
48060774,-0.0605,0.026162950903902263,0.0706,0.0101,2,Calgary,Calgary,0.067,-0.659,0.204,-0.151,4.0,2.0,4.0,3.0
48060775,-0.0447,,0.0559,0.0112,1,Calgary,Calgary,0.036,0.065,-0.318,-0.478,4.0,3.0,3.0,3.0
48060776,-0.048799999999999996,,0.0564,0.0076,1,Calgary,Calgary,-1.226,0.102,-0.018,-0.355,1.0,3.0,3.0,3.0
48060777,-0.04923333333333333,0.0004932882862316237,0.056466666666666665,0.007233333333333334,3,Calgary,Calgary,-0.578,-0.335,-0.48,-0.547,2.0,2.0,2.0,2.0
48060778,-0.050499999999999996,0.0010583005244258368,0.054966666666666664,0.0044666666666666665,3,Calgary,Calgary,-0.415,0.644,-0.279,-0.525,3.0,4.0,3.0,3.0
48060779,-0.05100000000000001,0.0009165151389911693,0.056566666666666675,0.005566666666666667,3,Calgary,Calgary,-0.15,-0.499,0.105,-0.903,3.0,2.0,4.0,1.0
48060780,-0.08082500000000001,0.01010754668552166,0.086925,0.0060999999999999995,4,Calgary,Calgary,0.521,0.083,-0.161,-0.046,4.0,3.0,3.0,4.0
48060781,-0.04775,0.005727564927611034,0.0529,0.00515,2,Calgary,Calgary,-0.303,0.549,-0.11,-0.06,3.0,4.0,3.0,4.0
48060783,-0.0587,0.0012727922061357754,0.06245,0.00375,2,Calgary,Calgary,0.484,-1.044,1.007,-0.257,4.0,1.0,5.0,3.0
48060784,-0.05115,0.0017677669529663704,0.05525,0.0040999999999999995,2,Calgary,Calgary,-0.567,0.004,0.04,-0.349,2.0,3.0,4.0,3.0
48060785,-0.05286666666666667,0.003800438571182715,0.056999999999999995,0.0041333333333333335,3,Calgary,Calgary,-0.601,0.657,-0.856,-0.37,2.0,4.0,1.0,3.0
48060786,-0.054400000000000004,0.004384062043356593,0.057150000000000006,0.00275,2,Calgary,Calgary,-0.755,-0.648,-0.322,-0.549,2.0,2.0,3.0,2.0
48060787,-0.052300000000000006,0.0025357444666211913,0.055466666666666664,0.0031666666666666666,3,Calgary,Calgary,-0.505,0.014,-0.235,-0.228,2.0,3.0,3.0,3.0
48060789,-0.051,,0.054,0.003,1,Calgary,Calgary,-0.881,-0.702,-0.341,0.743,1.0,2.0,2.0,4.0
48060790,-0.0393,0.02361736649163069,0.0424,0.0031000000000000003,2,Calgary,Calgary,-0.817,0.357,-0.061,0.278,2.0,4.0,3.0,4.0
48060791,-0.0391,0.01668772003600252,0.04145,0.0023499999999999997,2,Calgary,Calgary,-0.712,-0.835,-0.233,-0.686,2.0,1.0,3.0,2.0
48060792,-0.04245,0.02199102089490162,0.0452,0.00275,2,Calgary,Calgary,-0.142,-0.838,-0.675,0.894,3.0,1.0,1.0,5.0
48060793,-0.04445,0.023829498525986658,0.046650000000000004,0.0021999999999999997,2,Calgary,Calgary,-1.305,1.13,-1.231,-0.056,1.0,5.0,1.0,4.0
48060794,-0.053899999999999997,0.0016970562748477136,0.056749999999999995,0.00285,2,Calgary,Calgary,-1.155,2.299,-0.962,0.102,1.0,5.0,1.0,4.0
48060795,-0.0402,0.020788939366884498,0.04315,0.0029500000000000004,2,Calgary,Calgary,-0.952,-0.157,-0.8,-0.34,1.0,3.0,1.0,3.0
48060796,-0.053875,0.004624121538195125,0.057624999999999996,0.00375,4,Calgary,Calgary,-1.148,0.279,-0.304,-0.208,1.0,4.0,3.0,3.0
48060797,-0.037974999999999995,0.015517382726048447,0.042175,0.0042,4,Calgary,Calgary,-0.139,-0.77,0.52,0.175,3.0,2.0,5.0,4.0
48060798,-0.03216666666666667,0.01916150655176501,0.03706666666666667,0.0049,3,Calgary,Calgary,-0.627,-0.784,0.08,-0.344,2.0,1.0,4.0,3.0
48060799,-0.04514,0.011992831192007999,0.05014,0.005,5,Calgary,Calgary,-0.617,0.134,0.063,0.668,2.0,4.0,4.0,4.0
48060800,-0.031166666666666665,0.017619969731339873,0.036166666666666666,0.005,3,Calgary,Calgary,-0.892,0.141,-0.609,-0.375,1.0,4.0,2.0,3.0
48060801,-0.0269,,0.0296,0.0027,1,Calgary,Calgary,-1.034,-1.039,-1.187,-0.453,1.0,1.0,1.0,3.0
48060802,-0.054933333333333334,0.007885006869580607,0.06016666666666667,0.005233333333333333,3,Calgary,Calgary,-0.592,0.241,-0.6,-0.175,2.0,4.0,2.0,3.0
48060803,-0.05815000000000001,0.0051618795026618005,0.06335,0.0052,2,Calgary,Calgary,-0.597,0.281,-0.492,-0.344,2.0,4.0,2.0,3.0
48060804,-0.05,0.011507388930595854,0.055224999999999996,0.0052250000000000005,4,Calgary,Calgary,-0.858,0.012,-0.533,-0.079,1.0,3.0,2.0,4.0
48060805,-0.05853333333333333,0.002872861523522035,0.06233333333333333,0.0038,3,Calgary,Calgary,-1.333,-0.457,-1.054,0.011,1.0,2.0,1.0,4.0
48060806,-0.059975,0.004569737410398979,0.06425,0.004275,4,Calgary,Calgary,-1.247,0.75,-0.933,0.177,1.0,5.0,1.0,4.0
48060807,-0.054075,0.021583848127708822,0.057475,0.0034000000000000002,4,Calgary,Calgary,-1.044,0.101,-0.973,0.091,1.0,3.0,1.0,4.0
48060808,-0.058050000000000004,0.003747665940288694,0.060700000000000004,0.00265,2,Calgary,Calgary,-1.197,1.42,-0.872,-0.617,1.0,5.0,1.0,2.0
48060810,-0.0518,0.0015705625319186313,0.055625,0.003825,4,Calgary,Calgary,-0.953,0.785,-0.726,-0.398,1.0,5.0,1.0,3.0
48060811,-0.05135,0.0003535533905932741,0.0557,0.00435,2,Calgary,Calgary,-1.242,0.453,-0.87,-0.626,1.0,4.0,1.0,2.0
48060812,-0.05236666666666667,0.0005507570547286129,0.055799999999999995,0.0034333333333333334,3,Calgary,Calgary,-1.787,1.443,-1.286,-0.468,1.0,5.0,1.0,3.0
48060813,-0.04993333333333333,0.002098412098071617,0.05583333333333334,0.0059,3,Calgary,Calgary,-1.403,0.423,-0.62,-0.261,1.0,4.0,2.0,3.0
48060814,-0.047299999999999995,0.0,0.0557,0.008400000000000001,2,Calgary,Calgary,-0.65,1.453,-0.996,-0.184,2.0,5.0,1.0,3.0
48060815,-0.04702,0.0004494441010848848,0.05574,0.00872,5,Calgary,Calgary,-1.391,0.481,-1.14,-0.585,1.0,4.0,1.0,2.0
48060816,-0.06559999999999999,0.023900209204105304,0.07255,0.00695,2,Calgary,Calgary,0.14,0.138,-0.42,-0.336,4.0,4.0,2.0,3.0
48060817,-0.036275,0.030913899247210257,0.041775,0.0055,4,Calgary,Calgary,-1.191,0.471,-1.082,-0.401,1.0,4.0,1.0,3.0
48060818,-0.0534,0.00014142135623731355,0.05585,0.00245,2,Calgary,Calgary,-1.425,0.732,-1.032,-0.19,1.0,5.0,1.0,3.0
48060820,-0.0509,0.0059961098500055324,0.06745,0.016550000000000002,4,Calgary,Calgary,-1.449,0.204,-1.175,-0.283,1.0,4.0,1.0,3.0
48060821,-0.04455,0.0006855654600401081,0.047625,0.003075,4,Calgary,Calgary,-0.792,-0.187,-0.638,-0.073,2.0,3.0,2.0,4.0
48060830,-0.06145714285714286,0.012249198224490335,0.06465714285714286,0.0032,7,Calgary,Calgary,-0.08,-0.541,0.232,-0.5,3.0,2.0,4.0,3.0
48060831,-0.07004,0.0019629060089571297,0.07452,0.00448,5,Calgary,Calgary,0.384,-1.142,0.077,0.465,4.0,1.0,4.0,4.0
48060832,-0.08355,0.02001112190757929,0.0891,0.005549999999999999,2,Calgary,Calgary,-0.271,-0.057,-0.114,-0.393,3.0,3.0,3.0,3.0
48060833,-0.07705000000000001,0.00035355339059325934,0.08360000000000001,0.00655,2,Calgary,Calgary,-0.843,-0.752,-0.289,-0.394,1.0,2.0,3.0,3.0
48060834,-0.06621999999999999,0.030185708538975852,0.0748,0.00858,5,Calgary,Calgary,-0.146,1.48,-1.43,0.901,3.0,5.0,1.0,5.0
48060836,-0.0784,,0.0942,0.0158,1,Calgary,Calgary,-0.307,2.085,-1.155,-0.566,3.0,5.0,1.0,2.0
48060837,-0.1453111111111111,0.01751374063731421,0.18056666666666665,0.03525555555555556,9,Calgary,Calgary,1.657,-1.25,0.181,1.976,5.0,1.0,4.0,5.0
48060838,-0.12526666666666667,0.01836667271627244,0.15585000000000002,0.030583333333333334,6,Calgary,Calgary,1.154,-1.164,-0.373,-0.197,5.0,1.0,2.0,3.0
48060842,-0.12049090909090908,0.020744225921709127,0.16841818181818183,0.04792727272727273,11,Calgary,Calgary,-0.292,-1.003,-0.539,-0.092,3.0,1.0,2.0,3.0
48060843,-0.104375,0.009228353049163212,0.154525,0.05015,4,Calgary,Calgary,1.891,-1.586,0.026,1.655,5.0,1.0,4.0,5.0
48060844,-0.11421999999999999,0.0358510436854122,0.16084,0.04662,10,Calgary,Calgary,2.879,-1.476,-0.453,1.323,5.0,1.0,2.0,5.0
48060845,-0.08328888888888888,0.029577163675902244,0.12862222222222222,0.04533333333333334,9,Calgary,Calgary,-0.383,-0.991,-0.719,-0.066,3.0,1.0,1.0,4.0
48060846,-0.10807272727272728,0.012410003296461362,0.1499181818181818,0.04184545454545455,11,Calgary,Calgary,0.069,-1.257,-0.696,-0.376,4.0,1.0,1.0,3.0
48060847,-0.10141,0.02462178123351581,0.14443999999999999,0.04303,10,Calgary,Calgary,-0.442,-1.291,-0.922,-0.148,3.0,1.0,1.0,3.0
48060848,-0.07616666666666666,0.010715720538846965,0.13103333333333333,0.05486666666666667,6,Calgary,Calgary,0.322,-0.402,-0.822,-0.028,4.0,2.0,1.0,4.0
48060849,-0.04421428571428571,0.030741526126258405,0.10777142857142856,0.06355714285714285,7,Calgary,Calgary,-0.468,-1.006,-0.995,-0.385,3.0,1.0,1.0,3.0
48060850,-0.0527875,0.019924890212997412,0.117975,0.0651875,8,Calgary,Calgary,0.511,-1.678,-0.801,-0.39,4.0,1.0,1.0,3.0
48060851,-0.1223875,0.0109518997047479,0.1576125,0.035225,8,Calgary,Calgary,0.91,-0.298,-0.804,0.069,5.0,3.0,1.0,4.0
48060852,-0.0348,0.04664890138041838,0.05256666666666667,0.017766666666666667,3,Calgary,Calgary,2.153,0.746,-0.756,-0.552,5.0,5.0,1.0,2.0
48060853,-0.06498571428571429,0.012128675191658894,0.09038571428571429,0.025400000000000002,7,Calgary,Calgary,1.979,-1.104,-0.884,1.19,5.0,1.0,1.0,5.0
48060855,-0.1107,0.024248216429255162,0.16275,0.052050000000000006,6,Calgary,Calgary,2.451,-0.36,0.167,0.184,5.0,2.0,4.0,4.0
48060856,-0.14024285714285714,0.004861706539497267,0.1818857142857143,0.04164285714285714,7,Calgary,Calgary,1.855,-1.226,-0.794,-0.557,5.0,1.0,1.0,2.0
48060857,-0.1349,,0.1654,0.0305,1,Calgary,Calgary,2.768,-0.945,-0.387,0.324,5.0,1.0,2.0,4.0
48060858,-0.12165,0.0020506096654409776,0.15794999999999998,0.0363,2,Calgary,Calgary,2.369,-1.336,-0.441,-0.195,5.0,1.0,2.0,3.0
48060859,-0.12273333333333332,0.024187048876068637,0.1541,0.03136666666666666,3,Calgary,Calgary,2.783,-1.015,-0.041,-0.025,5.0,1.0,3.0,4.0
48060860,-0.08643999999999999,0.032336944815489294,0.11839999999999999,0.03196,5,Calgary,Calgary,2.352,-1.287,-0.359,0.537,5.0,1.0,2.0,4.0
48060861,-0.06485,0.0025680732076792476,0.10091666666666667,0.03606666666666667,6,Calgary,Calgary,2.674,-1.444,-0.764,-0.331,5.0,1.0,1.0,3.0
48060862,-0.08608333333333333,0.02247046209286018,0.11748333333333333,0.031400000000000004,6,Calgary,Calgary,-0.997,-1.334,-0.677,-0.584,1.0,1.0,1.0,2.0
48060863,-0.13578571428571426,0.0063488656654630314,0.16725714285714283,0.031471428571428574,7,Calgary,Calgary,0.498,-1.886,-0.536,-0.087,4.0,1.0,2.0,4.0
48060864,-0.12595,0.0203113679171706,0.15835,0.0324,10,Calgary,Calgary,0.308,-0.523,-0.45,0.274,4.0,2.0,2.0,4.0
48060865,-0.16344545454545456,0.015369669068419377,0.20911818181818181,0.04567272727272727,11,Calgary,Calgary,1.932,-0.974,-0.59,1.05,5.0,1.0,2.0,5.0
48060866,-0.1519818181818182,0.016057634830934378,0.19540909090909092,0.04342727272727273,11,Calgary,Calgary,0.262,-0.619,-0.431,0.612,4.0,2.0,2.0,4.0
48060867,-0.13912727272727274,0.02173334262873941,0.18030000000000002,0.04117272727272728,11,Calgary,Calgary,0.116,-1.298,-0.63,-0.071,4.0,1.0,2.0,4.0
48060868,-0.13667142857142858,0.022950529692946368,0.1800142857142857,0.04334285714285714,14,Calgary,Calgary,-0.314,-0.497,-0.519,0.092,3.0,2.0,2.0,4.0
48060869,-0.159525,0.019784246980146317,0.2088625,0.0493375,8,Calgary,Calgary,1.428,-0.88,-0.514,0.309,5.0,1.0,2.0,4.0
48060870,-0.1682,0.014601867875533777,0.20961666666666667,0.041416666666666664,12,Calgary,Calgary,1.404,0.357,-0.672,0.656,5.0,4.0,1.0,4.0
48060871,-0.14205555555555555,0.01595659041831235,0.17554444444444442,0.03348888888888889,9,Calgary,Calgary,1.266,-1.267,-0.301,0.509,5.0,1.0,3.0,4.0
48060872,-0.11276,0.008531881386892351,0.13726,0.0245,5,Calgary,Calgary,0.22,-1.071,-0.25,0.216,4.0,1.0,3.0,4.0
48060873,-0.15327,0.017054295646551924,0.17246999999999998,0.019200000000000002,10,Calgary,Calgary,0.775,-1.352,-0.814,0.162,4.0,1.0,1.0,4.0
48060874,-0.15001,0.01743479598708029,0.17255,0.022539999999999998,10,Calgary,Calgary,0.605,-0.695,-0.608,0.061,4.0,2.0,2.0,4.0
48060875,-0.13109285714285715,0.008941731400548813,0.1542142857142857,0.02312142857142857,14,Calgary,Calgary,-0.409,-0.77,-0.621,-0.144,3.0,2.0,2.0,3.0
48060876,-0.12927777777777777,0.0031881725869915695,0.1635111111111111,0.03423333333333333,9,Calgary,Calgary,-0.219,-1.099,-0.831,0.164,3.0,1.0,1.0,4.0
48060877,-0.1368,0.03515451606835173,0.14650000000000002,0.0097,7,Calgary,Calgary,0.112,-1.109,-0.485,-0.111,4.0,1.0,2.0,3.0
48060878,-0.09670000000000001,0.01474449049645326,0.10688333333333333,0.010183333333333334,6,Calgary,Calgary,-0.162,-1.283,-0.443,-0.209,3.0,1.0,2.0,3.0
48060879,-0.0796,0.042591031919877224,0.08563333333333334,0.006033333333333334,6,Calgary,Calgary,1.045,0.535,-0.64,0.546,5.0,4.0,2.0,4.0
48060880,-0.10239000000000001,0.004611928976999633,0.10549,0.0031,10,Calgary,Calgary,1.904,-1.106,0.21,0.023,5.0,1.0,4.0,4.0
48060881,-0.05595714285714286,0.04296032130174548,0.057242857142857144,0.0012857142857142856,28,Calgary,Calgary,0.61,-1.124,0.999,1.258,4.0,1.0,5.0,5.0
48060882,-0.09548,0.005099215625956603,0.10438,0.0089,5,Calgary,Calgary,0.623,-0.033,0.117,0.233,4.0,3.0,4.0,4.0
48060884,-0.065,0.09475230867899738,0.06965,0.00465,2,Calgary,Calgary,-0.05,0.048,-0.028,-0.131,3.0,3.0,3.0,3.0
48060885,-0.0920857142857143,0.06951207157924512,0.10412857142857143,0.012042857142857143,7,Calgary,Calgary,1.084,0.215,-0.268,-0.472,5.0,4.0,3.0,3.0
48060886,-0.094725,0.023409079435125168,0.1124625,0.0177375,8,Calgary,Calgary,0.08,-1.113,-0.684,-0.371,4.0,1.0,1.0,3.0
48060887,-0.0837125,0.009909510222868885,0.0967125,0.013,8,Calgary,Calgary,-0.467,-0.985,-0.295,-0.385,3.0,1.0,3.0,3.0
48060888,-0.07719999999999999,,0.0895,0.0123,1,Calgary,Calgary,0.306,-1.582,-0.642,-0.413,4.0,1.0,2.0,3.0
48060889,-0.0814142857142857,0.00462616780623321,0.09752857142857142,0.016114285714285713,7,Calgary,Calgary,0.377,-0.758,-0.324,-0.363,4.0,2.0,3.0,3.0
48060890,-0.08222,0.034226261846716476,0.08868000000000001,0.0064600000000000005,5,Calgary,Calgary,0.42,-0.738,-0.199,-0.051,4.0,2.0,3.0,4.0
48060891,-0.07931538461538461,0.016552283133244087,0.08883076923076924,0.009515384615384617,13,Calgary,Calgary,0.134,-0.905,-0.458,0.557,4.0,1.0,2.0,4.0
48060892,-0.0655,0.010297680429214256,0.07841000000000001,0.01291,10,Calgary,Calgary,-0.181,-0.965,-0.673,-0.255,3.0,1.0,1.0,3.0
48060893,-0.11405714285714286,0.034933501453612174,0.13087142857142856,0.016814285714285716,7,Calgary,Calgary,1.243,-2.033,-1.03,-0.233,5.0,1.0,1.0,3.0
48060894,-0.10825333333333333,0.03432564361412337,0.12912,0.020866666666666665,15,Calgary,Calgary,0.783,-1.573,-0.986,-0.11,4.0,1.0,1.0,3.0
48060895,-0.0785875,0.005097460852508544,0.09708750000000001,0.0185,8,Calgary,Calgary,0.095,-0.857,-0.473,-0.256,4.0,1.0,2.0,3.0
